,total_bill,tip,size,sex_Male,smoker_Yes,day_Sat,day_Sun,day_Thur,time_Lunch,tip_percentage,price_per_person
175,16.82,4.0,2,1,1,0,1,0,0,0.23781212841854935,8.41
176,32.9,3.11,2,1,1,0,1,0,0,0.0945288753799392,16.45
177,17.89,2.0,2,1,1,0,1,0,0,0.11179429849077696,8.945
178,14.48,2.0,2,1,1,0,1,0,0,0.13812154696132597,7.24
179,9.6,4.0,2,0,1,0,1,0,0,0.4166666666666667,4.8
180,34.63,3.55,2,1,1,0,1,0,0,0.102512272596015,17.315
181,34.65,3.68,4,1,1,0,1,0,0,0.10620490620490622,8.6625
182,23.33,5.65,2,1,1,0,1,0,0,0.2421774539219889,11.665
183,45.35,3.5,3,1,1,0,1,0,0,0.07717750826901874,15.116666666666667
184,23.17,6.5,4,1,1,0,1,0,0,0.2805351747949935,5.7925
185,40.55,3.0,2,1,1,0,1,0,0,0.07398273736128237,20.275
186,20.69,5.0,5,1,0,0,1,0,0,0.2416626389560174,4.138
187,20.9,3.5,3,0,1,0,1,0,0,0.1674641148325359,6.966666666666666
188,30.46,2.0,5,1,1,0,1,0,0,0.06565988181221273,6.0920000000000005
189,18.15,3.5,3,0,1,0,1,0,0,0.1928374655647383,6.05
190,23.1,4.0,3,1,1,0,1,0,0,0.17316017316017315,7.7
191,15.69,1.5,2,1,1,0,1,0,0,0.09560229445506692,7.845
192,19.81,4.19,2,0,1,0,0,1,1,0.21150933871781932,9.905
193,28.44,2.56,2,1,1,0,0,1,1,0.090014064697609,14.22
194,15.48,2.02,2,1,1,0,0,1,1,0.13049095607235142,7.74
195,16.58,4.0,2,1,1,0,0,1,1,0.24125452352231608,8.29
196,7.56,1.44,2,1,0,0,0,1,1,0.19047619047619047,3.78
197,10.34,2.0,2,1,1,0,0,1,1,0.19342359767891684,5.17
198,43.11,5.0,4,0,1,0,0,1,1,0.1159823706796567,10.7775
199,13.0,2.0,2,0,1,0,0,1,1,0.15384615384615385,6.5
200,13.51,2.0,2,1,1,0,0,1,1,0.14803849000740193,6.755
201,18.71,4.0,3,1,1,0,0,1,1,0.2137894174238375,6.236666666666667
202,12.74,2.01,2,0,1,0,0,1,1,0.15777080062794346,6.37
203,13.0,2.0,2,0,1,0,0,1,1,0.15384615384615385,6.5
204,16.4,2.5,2,0,1,0,0,1,1,0.15243902439024393,8.2
205,20.53,4.0,4,1,1,0,0,1,1,0.1948368241597662,5.1325
206,16.47,3.23,3,0,1,0,0,1,1,0.19611414693381907,5.489999999999999
207,26.59,3.41,3,1,1,1,0,0,0,0.1282437006393381,8.863333333333333
208,38.73,3.0,4,1,1,1,0,0,0,0.0774593338497289,9.6825
209,24.27,2.03,2,1,1,1,0,0,0,0.08364235681911825,12.135
210,12.76,2.23,2,0,1,1,0,0,0,0.17476489028213166,6.38
211,30.06,2.0,3,1,1,1,0,0,0,0.06653359946773121,10.02
212,25.89,5.16,4,1,1,1,0,0,0,0.1993047508690614,6.4725
213,48.33,9.0,4,1,0,1,0,0,0,0.186219739292365,12.0825
214,13.27,2.5,2,0,1,1,0,0,0,0.18839487565938207,6.635
215,28.17,6.5,3,0,1,1,0,0,0,0.23074192403265883,9.39
216,12.9,1.1,2,0,1,1,0,0,0,0.08527131782945736,6.45
217,28.15,3.0,5,1,1,1,0,0,0,0.10657193605683837,5.63
218,11.59,1.5,2,1,1,1,0,0,0,0.12942191544434858,5.795
219,7.74,1.44,2,1,1,1,0,0,0,0.18604651162790697,3.87
220,30.14,3.09,4,0,1,1,0,0,0,0.10252156602521566,7.535
221,12.16,2.2,2,1,1,0,0,0,1,0.18092105263157895,6.08
222,13.42,3.48,2,0,1,0,0,0,1,0.2593144560357675,6.71
223,8.58,1.92,1,1,1,0,0,0,1,0.22377622377622378,8.58
224,15.98,3.0,3,0,0,0,0,0,1,0.18773466833541927,5.326666666666667
225,13.42,1.58,2,1,1,0,0,0,1,0.11773472429210134,6.71
226,16.27,2.5,2,0,1,0,0,0,1,0.15365703749231716,8.135
227,10.09,2.0,2,0,1,0,0,0,1,0.19821605550049554,5.045
228,20.45,3.0,4,1,0,1,0,0,0,0.1466992665036675,5.1125
229,13.28,2.72,2,1,0,1,0,0,0,0.20481927710843376,6.64
230,22.12,2.88,2,0,1,1,0,0,0,0.13019891500904157,11.06
231,24.01,2.0,4,1,1,1,0,0,0,0.08329862557267805,6.0025
232,15.69,3.0,3,1,1,1,0,0,0,0.19120458891013384,5.2299999999999995
233,11.61,3.39,2,1,0,1,0,0,0,0.29198966408268734,5.805
234,10.77,1.47,2,1,0,1,0,0,0,0.13649025069637882,5.385
235,15.53,3.0,2,1,1,1,0,0,0,0.19317450096587252,7.765
236,10.07,1.25,2,1,0,1,0,0,0,0.12413108242303872,5.035
237,12.6,1.0,2,1,1,1,0,0,0,0.07936507936507936,6.3
238,32.83,1.17,2,1,1,1,0,0,0,0.03563813585135547,16.415
239,35.83,4.67,3,0,0,1,0,0,0,0.13033770583310075,11.943333333333333
240,29.03,5.92,3,1,0,1,0,0,0,0.2039269720978298,9.676666666666668
241,27.18,2.0,2,0,1,1,0,0,0,0.07358351729212656,13.59
242,22.67,2.0,2,1,1,1,0,0,0,0.08822232024702249,11.335
243,17.82,1.75,2,1,0,1,0,0,0,0.09820426487093153,8.91
244,18.78,3.0,2,0,0,0,0,1,0,0.1597444089456869,9.39
